No,Text_Clause,Label,Category,Shariah_Justification (Academic Standard)
39,"""Total Profit is based on the Ceiling Profit Rate of 10.25% per annum.""",1,Profit_Interest,"Compliant as the profit rate is capped, providing a ""safety net"" against excessive Usury."
40,"""Transaction involves investment in companies that produce and distribute tobacco.""",0,Prohibited_Activity,Non-Compliant: Financing activities that are harmful (Dharar) to society and prohibited.
41,"""The Bank shall inform the customer of any change in the Standardised Base Rate (SBR).""",1,Admin_Info,Promotes transparency and reduces Uncertainty (Gharar) in the financial relationship.
42,"""The contract involves a hidden interest swap agreement with a conventional bank.""",0,Shariah_Concept,Non-Compliant: Use of derivatives to mask Usury (Riba) through complex structures.
43,"""The monthly payment includes base rent which may change according to the Bank's Base Rate.""",1,Profit_Interest,Compliant leasing structure where rental is adjusted based on a Shariah-compliant benchmark.
44,"""Late payment will incur interest penalty of 1% per month on the total outstanding balance.""",0,Late_Payment,Non-Compliant: Application of monthly compounded Usury (Riba) on debt.
45,"""Commodity transaction will be performed daily on an approved Shariah platform.""",1,Shariah_Concept,Ensures the validity of the Tawarruq process through real trading of physical assets.
46,"""The loan balance includes an annual insurance premium for conventional life insurance.""",0,Insurance_Takaful,"Non-Compliant: Financing of conventional insurance which involves Usury, Uncertainty, and Gambling."
47,"""The Bank acts as the customer's Purchase Agent to buy commodities on a deferred basis.""",1,Shariah_Concept,Compliant application of Wakalah in the purchase stage of a Tawarruq transaction.
48,"""Investment in a venture that involves trading of future debt for current cash at a discount.""",0,Shariah_Concept,Non-Compliant: Involves Bay' al-Dayn (sale of debt) which results in prohibited Usury (Riba).
49,"""The Bank may exercise its right to auction the property if there is a prolonged default.""",1,Risks,Compliant as the bank has the right to realize the collateral in a secured financing contract.
50,"""The agreement includes a clause for the automatic rollover of debt with added interest.""",0,Late_Payment,Non-Compliant: Direct practice of Usury (Riba) through debt extension for a fee.
51,"""The Bank's Sale Price is fixed and will not increase even if market rates rise.""",1,Price_Structure,"Compliant as the price is fixed at the start, eliminating Uncertainty (Gharar) in the debt amount."
52,"""The interest rate is floating and may be adjusted monthly based on the interbank rate.""",0,Profit_Interest,Non-Compliant: Fluctuating costs based on Usury (Riba) without a transparent sale price cap.
53,"""Under the Tawarruq arrangement, the Bank acts as the Purchase Agent for the customer.""",1,Shariah_Concept,"Compliant via Wakalah (Agency), allowing the bank to execute commodity trades on behalf of the client."
54,"""The customer must pay a service fee that is a percentage of the total loan amount.""",0,Fees_Charges,Non-Compliant: Fees calculated as a percentage of a loan often function as hidden Usury (Riba).
55,"""The customer is entitled to a rebate (Ibra') if the financing is settled before the maturity date.""",1,Rebate,"Adheres to the principle of Ibra', where the creditor waives part of the debt for early payment."
56,"""Failure to pay will result in the bank charging interest on the unpaid interest portion.""",0,Late_Payment,Non-Compliant: Direct application of Compound Usury (Riba al-Jahiliyyah).
57,"""The property will be leased to the customer under the principle of Ijarah.""",1,Shariah_Concept,"Compliant via Ijarah (Leasing), where the customer pays for the right to use the asset (Usufruct)."
58,"""The bank reserves the right to change the lease terms at its sole discretion without notice.""",0,General_Principles,Non-Compliant: Introduces Uncertainty (Gharar) and potential for unfair contractual terms (Zulm).
59,"""Ta’widh shall be charged at a rate of 1% on the arrears of the monthly installments.""",1,Late_Payment,"Compliant as Ta'widh (compensation) is based on the actual cost of funds, not for profit."
60,"""This loan facility is linked to a conventional insurance policy that involves gambling elements.""",0,Insurance_Takaful,Non-Compliant: Involves Gambling (Maysir) and Uncertainty inherent in conventional insurance.
61,"""The Commodity Murabahah transaction ensures that the financing is backed by physical assets.""",1,Shariah_Concept,"Compliant as the transaction is based on a real trade of goods, avoiding a ""money-for-money"" exchange."
62,"""Selling price is inclusive of a 5% interest rate compounded annually over 30 years.""",0,Price_Structure,Non-Compliant: Explicitly builds the contract on a foundation of Usury (Riba).
63,"""The Bank will provide 21 days’ notice for any variation in the Standardised Base Rate (SBR).""",1,Admin_Info,Promotes transparency and reduces Uncertainty (Gharar) in the financial relationship.
64,"""The contract includes a buy-back clause where the bank must buy the asset back at a lower price.""",0,Shariah_Concept,"Non-Compliant: Represents Bay' al-'Inah, a fictitious sale used to mask Usury (Riba)."
65,"""The customer may appoint a third party to act as an agent for the sale of commodities.""",1,Shariah_Concept,"Compliant as it follows the Wakalah principle, ensuring a valid separation of duties in Tawarruq."
66,"""Profit is guaranteed to the bank regardless of whether the business venture succeeds or fails.""",0,Profit_Interest,"Non-Compliant: Violates the Risk-Sharing principle, turning a partnership into an interest-based loan."
67,"""The Ceiling Profit Rate (CPR) acts as the maximum price that the bank can charge.""",1,Price_Structure,Compliant mechanism that ensures the customer is protected from extreme Uncertainty (Gharar).
68,"""Any default will result in an immediate 2% increase in the annual interest rate.""",0,Late_Payment,Non-Compliant: Punitive rate hike that constitutes additional Usury (Riba) on debt.
69,"""Property financing is based on a Musharakah Mutanaqisah (Diminishing Partnership) contract.""",1,Shariah_Concept,Compliant through equity participation and the gradual purchase of the bank's share.
70,"""The agreement allows for the investment of funds in companies that produce alcoholic beverages.""",0,Prohibited_Activity,Non-Compliant: Investment in prohibited industries violates Shariah ethics and Social Responsibility.
71,"""Late payment charges (Gharamah) are channeled to charitable organizations approved by Shariah.""",1,Late_Payment,"Compliant as the bank does not benefit from the penalty, avoiding the appearance of Usury."
72,"""The contract involves the exchange of an unknown quantity of goods for a fixed price.""",0,Shariah_Concept,Non-Compliant: Presence of Uncertainty (Gharar) regarding the subject matter of the sale.
73,"""For properties under construction, the Bank uses Ijarah Mawsufah fi Zimmah.""",1,Shariah_Concept,"Compliant forward-lease contract for assets yet to be completed, a recognized Shariah arrangement."
74,"""The bank will charge a fee for 'waiving' the right to take legal action against a defaulter.""",0,Fees_Charges,Non-Compliant: Selling a right to delay payment is a form of Usury (Riba).
75,"""The Effective Profit Rate (EPR) will be lower than or equal to the Ceiling Profit Rate.""",1,Profit_Interest,Compliant adjustment where the bank gives a rebate (Ibra') to match market rates.
76,"""The loan agreement includes a clause where the interest rate is based on the LIBOR index.""",0,Profit_Interest,Non-Compliant: Uses a conventional benchmark tied to interest-based lending (Usury).
77,"""The Bank as an agent sells the commodity to the Commodity Purchaser on a spot basis.""",1,Shariah_Concept,Final stage of Tawarruq executed through a valid sale to generate cash for the customer.
78,"""The financing is used to purchase a property that will be used as a casino or nightclub.""",0,Prohibited_Activity,Non-Compliant: Supporting activities that promote Gambling (Maysir) or immoral behavior.
79,"""Commodity transaction is performed via an approved trading platform like Bursa Suq Al-Sila'.""",1,Shariah_Concept,"Ensures the underlying trade in Tawarruq is real, verifiable, and Shariah-compliant."
80,"""The bank guarantees the return of the principal amount in a high-risk investment partnership.""",0,General_Principles,Non-Compliant: Capital guarantees in partnership contracts convert the contract into a loan with Usury.
81,"""The Bank will provide you with a copy of the Product Disclosure Sheet (PDS).""",1,Admin_Info,"Compliant with transparency and consumer protection laws, reducing Uncertainty (Gharar)."
82,"""All risks related to the maintenance of the property are transferred to the tenant immediately.""",0,Shariah_Concept,"Non-Compliant: In an Ijarah (lease), the owner (Bank) should bear ownership-related risks."
83,"""The customer may exercise the option to purchase the property at the end of the lease period.""",1,Shariah_Concept,"Core feature of Ijarah Muntahiyah Bi Tamlik, allowing ownership transfer after the lease ends."
84,"""If the market price of gold falls, the loan balance will increase proportionally.""",0,Price_Structure,Non-Compliant: Involves excessive Uncertainty (Gharar) and elements of speculative gambling.
85,"""The formula for Ibra’ is: (Outstanding Sale Price - Settlement Amount).""",1,Rebate,Compliant and standardized method to calculate the amount waived by the bank for early settlement.
86,"""The bank will charge interest even if the asset is destroyed and cannot be used by the customer.""",0,Risks,Non-Compliant: Charging for a service not provided violates Shariah principles of Justice (Adl).
87,"""The customer agrees to pay the Sale Price through monthly installments until full settlement.""",1,Profit_Interest,Compliant deferred payment arrangement (Bai' Bithaman Ajil) with a fixed debt amount.
88,"""The agreement includes a 'Hidden Commission' that is not disclosed in the PDS.""",0,Fees_Charges,Non-Compliant: Lack of transparency leads to Uncertainty (Gharar) for the consumer.
89,"""The SBR is linked to the OPR level determined by Bank Negara Malaysia.""",1,Profit_Interest,Compliant use of a national benchmark for floating-rate profit adjustments in Islamic finance.
90,"""Proceeds from this financing are used to pay off existing conventional interest-based loans.""",0,Shariah_Concept,Non-Compliant: Using Islamic funds to settle Usury (Riba) without a proper restructuring contract.
91,"""Hibah (gift) may be provided to the customer at the sole discretion of the Bank.""",1,Shariah_Concept,"Compliant use of Hibah as an incentive, provided it is not contractually guaranteed."
92,"""The contract involves a bet on whether the property value will double in five years.""",0,Prohibited_Activity,Non-Compliant: Direct involvement in Gambling (Maysir) and speculative risk.
93,"""The Bank reserves the right to set-off any credit balance in your account with seven days notice.""",1,Risks,Compliant administrative right of the bank to recover debt from a customer's other accounts.
94,"""The transaction involves the sale of a debt for another debt (Bai' al-Dayn bi al-Dayn).""",0,Shariah_Concept,Non-Compliant: Trading of debt for debt is a prohibited form of Usury (Riba).
95,"""Total amount of rent paid during the initial lease period is not refundable under HouzKEY.""",1,Risks,Compliant as the payment is for the use of the asset (Usufruct) during the lease term.
96,"""Interest rate is fixed for the first two years and thereafter follows the market rate.""",0,Profit_Interest,"Non-Compliant: Typical conventional ""teaser rate"" structure based on Usury (Riba)."
97,"""The Sale Agent (Bank) sells the commodity to the Commodity Buyer at cost price.""",1,Shariah_Concept,Compliant step in the Tawarruq cycle to realize cash for the customer's needs.
98,"""The bank takes a percentage of the customer's business profit but zero share of the losses.""",0,Profit_Interest,Non-Compliant: Violates the Risk-Sharing rule where profit follows loss risk (Al-Kharaj bi al-Daman).
99,"""Any changes in the OPR will lead to an adjustment in the monthly payment amount.""",1,Profit_Interest,"Compliant mechanism for variable-rate financing, ensuring the bank stays competitive."
100,"""The agreement includes a clause allowing the bank to charge for 'imaginary' services.""",0,Fees_Charges,Non-Compliant: Charging without counter-value is a form of Uncertainty (Gharar) and Riba.
101,"""The Bank purchases the property from the developer to be leased to the customer.""",1,Shariah_Concept,"Compliant as the bank takes legal possession of the asset before leasing, fulfilling the Risk-Ownership rule."
102,"""The contract involves the sale of an item that is not yet in existence or produced.""",0,Shariah_Concept,Non-Compliant: Presence of Uncertainty (Gharar) due to the non-existence of the subject matter (Ma'dum).
103,"""The customer pays monthly rental which consists of the base rent and a variable component.""",1,Profit_Interest,Compliant leasing structure where the rental rate is linked to a transparent benchmark.
104,"""An administrative fee of 2% is added to the loan balance for every month of non-payment.""",0,Late_Payment,Non-Compliant: Functions as hidden Usury (Riba) by increasing the debt amount over time.
105,"""The Bank will grant Ibra’ (rebate) if the actual profit rate is lower than the ceiling rate.""",1,Rebate,"Adheres to the principle of Ibra', ensuring the customer is not overcharged beyond market rates."
106,"""The lender is entitled to a fixed return on the investment regardless of profit or loss.""",0,Profit_Interest,Non-Compliant: Guaranteed returns in a venture are considered a form of Usury (Riba).
107,"""Takaful contribution is calculated based on the financing amount and the tenure.""",1,Insurance_Takaful,Compliant as it uses Takaful (mutual protection) instead of conventional interest-based insurance.
108,"""The financing will be used to fund a project involving the distribution of pork products.""",0,Prohibited_Activity,Non-Compliant: Involvement in Haraam industries violates Shariah Ethical Investment standards.
109,"""The customer may appoint the Bank to act as an agent for the purchase of commodities.""",1,Shariah_Concept,Compliant use of Wakalah (Agency) to facilitate the underlying trade in Tawarruq.
110,"""The agreement includes a clause where the price is determined by a random draw.""",0,Price_Structure,Non-Compliant: Introduces elements of Gambling (Maysir) and excessive Uncertainty (Gharar).
111,"""The Sale Price remains unchanged throughout the tenure of the financing facility.""",1,Price_Structure,"Compliant as it provides price certainty, eliminating Uncertainty (Gharar) for the buyer."
112,"""A penalty of RM50 is charged for late payment and is kept as bank profit.""",0,Late_Payment,Non-Compliant: Penalties kept as profit are seen as a form of Usury (Riba) on debt.
113,"""Late payment charges (Ta’widh) shall not be compounded on the outstanding balance.""",1,Late_Payment,Adheres to Shariah rules by prohibiting Interest-on-Interest (Compound Riba).
114,"""The transaction involves a short-term loan that must be repaid with a 10% 'gift'.""",0,Shariah_Concept,Non-Compliant: A pre-conditioned gift in a loan is technically Usury (Riba) (Qard yu'addi ila naf').
115,"""The Bank will provide 21 days' notice for any changes to the profit rate.""",1,Admin_Info,Compliant with transparency requirements to protect the customer from Uncertainty (Gharar).
116,"""The contract involves the exchange of 1kg of high-quality gold for 2kg of low-quality gold.""",0,Shariah_Concept,Non-Compliant: Involves Riba al-Fadl (Usury of surplus) in the exchange of ribawi items.
117,"""The customer is responsible for the basic maintenance of the property during the lease.""",1,Shariah_Concept,Compliant as the tenant bears operational costs while the owner bears structural risks in Ijarah.
118,"""The bank takes no responsibility for the condition of the asset sold to the customer.""",0,General_Principles,Non-Compliant: Violates the principle of Seller's Liability (Daman) in a valid sale.
119,"""Under Tawarruq, the Bank sells the commodity to the customer on a deferred payment basis.""",1,Shariah_Concept,Compliant stage of Tawarruq where the debt is created through a valid trade of assets.
120,"""Financing is provided for an online betting platform operation.""",0,Prohibited_Activity,Non-Compliant: Direct support for Gambling (Maysir) which is strictly forbidden.
121,"""The ceiling rate of 10.25% p.a. protects you from extreme market fluctuations.""",1,Profit_Interest,"Compliant mechanism to limit risk and provide clarity, reducing Uncertainty (Gharar)."
122,"""The borrower must pay a commission to the lender for every month the loan is outstanding.""",0,Profit_Interest,Non-Compliant: Periodic commissions on loans are interpreted as Usury (Riba).
123,"""The Bank shall grant a rebate on the profit portion for early settlement.""",1,Rebate,Adheres to the BNM guidelines on Ibra' to ensure fairness in debt settlement.
124,"""The contract is valid only if the customer wins a specific sports match.""",0,General_Principles,Non-Compliant: Conditional contracts based on chance involve Uncertainty (Gharar).
125,"""This product disclosure sheet highlights the key terms of your Islamic financing.""",1,Admin_Info,Promotes Information Symmetry and reduces Uncertainty regarding the contract.
126,"""Compound interest will be charged on all overdue installments.""",0,Late_Payment,Non-Compliant: Features Usury (Riba) where the debt multiplies due to time.
127,"""The property may be foreclosed if the customer fails to meet the payment obligations.""",1,Risks,Compliant as the bank has the right to collateral (Rahn) in a secured trade transaction.
128,"""The financing involves the purchase of shares in a brewery company.""",0,Prohibited_Activity,Non-Compliant: Investment in Haraam industries contradicts Shariah Social Ethics.
129,"""The Bank's BRI is linked to the Standardised Base Rate (SBR) set by BNM.""",1,Profit_Interest,Compliant use of a regulated benchmark for transparent profit rate adjustments.
130,"""The agreement allows the bank to change the price of the asset after the sale is completed.""",0,Price_Structure,Non-Compliant: Price must be fixed at the point of sale to avoid Uncertainty (Gharar).
131,"""Hibah (gift) of the profit portion can be given by the bank at its discretion.""",1,Shariah_Concept,Compliant use of Hibah as a non-contractual incentive to customers.
132,"""The contract includes an interest-based swap to hedge against currency risk.""",0,Shariah_Concept,Non-Compliant: Derivatives involving Usury (Riba) are not Shariah-compliant.
133,"""The Bank acts as the Sale Agent to sell the commodity to the third-party buyer.""",1,Shariah_Concept,Compliant execution of the final trade in a Tawarruq (Commodity Murabahah) cycle.
134,"""A loan is provided on the condition that the borrower rents a house from the lender.""",0,Shariah_Concept,Non-Compliant: Prohibited combination of two contracts (Bay' wa Salaf) to hide Riba.
135,"""You may refer to AKPK for credit counseling and debt management services.""",1,Admin_Info,Compliant with regulatory requirements to provide consumer support and reduce Zulm.
136,"""The interest rate will double if the borrower's income decreases.""",0,Profit_Interest,Non-Compliant: Punitive and exploitative Usury (Riba) based on the borrower's hardship.
137,"""For properties under construction, the lease starts only upon completion.""",1,Shariah_Concept,Adheres to Ijarah Mawsufah fi Zimmah where the lease is for a future asset.
138,"""The investment fund guarantees a return of 10% p.a. through a loan-back scheme.""",0,Profit_Interest,Non-Compliant: Guaranteed returns in investments are considered Usury (Riba).
139,"""Total Profit is the difference between the Sale Price and the Purchase Price.""",1,Profit_Interest,Compliant as profit is derived from a transparent trade margin (Murabahah).
140,"""The agreement is written in a language that the customer cannot understand.""",0,General_Principles,Non-Compliant: Creates Uncertainty (Gharar) regarding the rights and obligations.
141,"""The Bank shall inform you in writing of the actual monthly payment amount.""",1,Admin_Info,Promotes transparency and eliminates Uncertainty (Gharar) in financial planning.
142,"""The lender takes a commission for 'looking after' the money lent to the borrower.""",0,Profit_Interest,Non-Compliant: Charging for a loan without a real service is a form of Usury (Riba).
143,"""The customer may choose to walk away at the end of the lease without purchasing.""",1,Shariah_Concept,"Compliant with Ijarah where the purchase option is a right, not an obligation."
144,"""The transaction involves selling a debt to a third party at a discounted price.""",0,Shariah_Concept,Non-Compliant: Discounting debt (Bay' al-Dayn) is a prohibited form of Usury (Riba).
145,"""Proceeds from the commodity sale are disbursed to the developer for your home.""",1,Shariah_Concept,Compliant disbursement process to ensure the funds are used for the intended asset purchase.
146,"""The bank will charge interest even if the customer is declared bankrupt.""",0,Late_Payment,Non-Compliant: Exploitative Usury (Riba) that ignores the Shariah rule of giving respite.
147,"""Commodity transaction is based on Shariah-compliant assets like crude palm oil.""",1,Shariah_Concept,Ensures the underlying trade in Tawarruq involves halal and real commodities.
148,"""The financing will be used to purchase shares in a tobacco manufacturing firm.""",0,Prohibited_Activity,Non-Compliant: Violates Shariah Ethical Screening against harmful (Dharar) products.
149,"""The SBR may change from time to time based on Bank Negara Malaysia's policy.""",1,Profit_Interest,Compliant as the benchmark is regulated and applied consistently across the industry.
150,"""The contract involves a gamble on the future movement of the USD/MYR exchange rate.""",0,Prohibited_Activity,Non-Compliant: Purely speculative trading involving Gambling (Maysir).
151,"""The customer agrees to purchase the commodity from the Bank at the Sale Price (Purchase Price + Profit).""",1,Shariah_Concept,Compliant under Murabahah (cost-plus sale) where the profit margin is mutually agreed upon.
152,"""The loan agreement includes a clause that permits the lender to charge a fee for 'money-time' value.""",0,Profit_Interest,Non-Compliant: Direct application of Usury (Riba) based on the passage of time without a trade asset.
153,"""For properties under construction, no payment is required during the construction period.""",1,Financing_Structure,Compliant as the lease payment only begins once the asset is ready for use in Ijarah.
154,"""The bank will provide a discount on interest if the borrower pays two weeks earlier than the due date.""",0,Profit_Interest,Non-Compliant: Discounting Usury (Riba) is still part of a prohibited interest-based lending system.
155,"""Ta'widh (compensation) is only applicable on the overdue principal amount, not the profit portion.""",1,Late_Payment,Compliant as it avoids Compound Riba by not charging compensation on the profit already earned.
156,"""The contract involves the sale of a harvest that has not yet grown or been planted.""",0,Shariah_Concept,Non-Compliant: Presence of Uncertainty (Gharar) due to the sale of non-existent future produce.
157,"""The Bank's Effective Profit Rate is capped at the Ceiling Profit Rate to protect the customer.""",1,Profit_Interest,Compliant mechanism that ensures price transparency and reduces Uncertainty (Gharar).
158,"""Failure to maintain the loan balance will result in a penalty that is added to the interest-bearing debt.""",0,Late_Payment,Non-Compliant: Features Interest-on-Interest which constitutes Riba al-Jahiliyyah.
159,"""This financing facility is available for first-time homebuyers who are Malaysian citizens.""",1,Admin_Info,Compliant administrative criteria that do not conflict with Shariah commercial principles.
160,"""The agreement includes a clause for a secret commission to be paid to an undisclosed third party.""",0,Fees_Charges,Non-Compliant: Lack of transparency leads to Uncertainty (Gharar) and potential fraud.
161,"""The Bank remains the owner of the property and bears the risk of total loss or destruction.""",1,Shariah_Concept,Adheres to the principle of Ownership Risk (Daman) in an Ijarah lease agreement.
162,"""The loan is conditional upon the borrower purchasing a life insurance policy from a specific provider.""",0,General_Principles,Non-Compliant: Prohibited combination of contracts (Al-Uqud al-Murakkabah) to force a conventional service.
163,"""Any excess profit from the commodity sale will be given back to the customer as a rebate (Ibra').""",1,Rebate,Compliant adjustment mechanism to ensure the customer only pays the effective market rate.
164,"""The profit rate is linked to a speculative index that tracks offshore gambling revenues.""",0,Prohibited_Activity,Non-Compliant: Involves both Gambling (Maysir) and investment in prohibited industries.
165,"""The customer shall pay the Bank the Sale Price by way of monthly installments for the Tenure.""",1,Profit_Interest,Compliant deferred payment sale (Bai' Bithaman Ajil) with a fixed and known debt amount.
166,"""The bank reserves the right to increase the monthly interest rate if the national inflation rate rises.""",0,Profit_Interest,Non-Compliant: Unilateral adjustment of Usury (Riba) without a Shariah-compliant benchmark.
167,"""The Bank acts as your agent (Wakil) to purchase the commodities from the supplier.""",1,Shariah_Concept,Compliant application of Wakalah to execute the first leg of a Tawarruq transaction.
168,"""The contract involves a 'bet' on whether the central bank will lower rates next month.""",0,Prohibited_Activity,Non-Compliant: Pure speculation and Gambling (Maysir) on future economic indicators.
169,"""Property Financing-i (Tawarruq) is intended for the purchase of a residential property.""",1,Shariah_Concept,Compliant use of a trade-based contract (Tawarruq) for asset acquisition.
170,"""The bank will charge a flat fee for every transaction, regardless of the amount of the loan.""",0,Fees_Charges,"Non-Compliant: If the fee is not linked to an actual service cost, it can be a disguise for Usury (Riba)."
171,"""The property must be used for Shariah-compliant purposes only throughout the lease term.""",1,General_Principles,Ensures the usage of the asset does not involve prohibited activities like Gambling or Haraam trade.
172,"""This loan facility is used to finance the construction of a conventional pig farm.""",0,Prohibited_Activity,Non-Compliant: Financing of prohibited items is against the Shariah principle of Halal Earnings.
173,"""Under the HouzKEY scheme, you may nominate a nominee to take over the lease in case of death.""",1,Shariah_Concept,Compliant administrative provision to ensure the continuity of the lease or transfer of rights.
174,"""The interest rate on the loan is 0% but a 10% 'processing fee' is charged upfront.""",0,Fees_Charges,Non-Compliant: Upfront fees that represent a percentage of the loan are often hidden Usury (Riba).
175,"""Commodities used for the transaction include palm oil, plastic resin, or rubber.""",1,Shariah_Concept,Compliant as it involves the trade of Halal and Real Assets to facilitate the financing.
